user_id,skills,interests,analytical,creative,social,education,experience,target_careers
u1,"SQL,Java","Health,Arts,Business",0.51,0.94,0.67,Master,6,"Software Engineer,Data Scientist,Business Analyst"
u2,"Business Strategy,Excel",Management,0.5,0.99,0.86,High School,0,Software Engineer
u3,"Statistics,Python,UI/UX","Management,Health,Sports",0.35,0.3,0.75,PhD,6,Financial Analyst
u4,"Statistics,SQL,UI/UX","Health,Education",0.46,0.94,0.95,Master,8,"Business Analyst,Data Scientist,Marketing Specialist"
u5,"SQL,Project Management,Python,Business Strategy",Science,0.29,0.48,0.6,Master,4,"Software Engineer,UX Designer"
u6,"Leadership,Python,Statistics,Machine Learning","Sports,Health,Technology",0.44,0.29,0.22,PhD,9,"Business Analyst,Product Manager,Data Scientist"
u7,"Project Management,Cloud Computing","Technology,Business",0.5,0.63,0.87,Master,8,Marketing Specialist
u8,"Creative Writing,Data Analysis,Machine Learning,Excel,SQL","Technology,Science,Business",0.26,0.95,0.8,Bachelor,3,"Business Analyst,UX Designer,Research Scientist"
u9,"Statistics,Leadership,UI/UX,Creative Writing,Java","Health,Business,Management",0.91,0.43,0.49,Master,8,Financial Analyst
u10,"Python,SQL","Technology,Health,Science",0.53,0.8,0.58,Master,9,"Data Scientist,Product Manager,UX Designer"
u11,"Java,Leadership,Statistics,Creative Writing,Machine Learning","Management,Technology,Arts",0.94,0.74,0.95,Master,7,"Data Scientist,Business Analyst,Software Engineer"
u12,"Creative Writing,Python,Java,Data Analysis","Management,Arts",0.38,0.32,0.96,PhD,4,"Research Scientist,UX Designer"
u13,"Communication,Business Strategy,Creative Writing,Java,Machine Learning","Arts,Business",0.4,0.41,0.22,PhD,0,Research Scientist
u14,"Data Analysis,Statistics,Java","Management,Education",0.6,0.28,0.87,High School,1,"Software Engineer,Product Manager"
u15,"Business Strategy,Project Management","Management,Technology",0.36,0.39,0.47,Master,4,Marketing Specialist
u16,"Cloud Computing,Python","Education,Management",0.2,0.23,0.63,PhD,2,"Business Analyst,Research Scientist"
u17,"Java,Leadership",Science,0.82,0.47,0.74,Bachelor,8,"UX Designer,Software Engineer,Research Scientist"
u18,"Statistics,Excel,Communication,Python,Leadership",Management,0.71,0.75,0.5,Master,0,"Financial Analyst,Product Manager,Business Analyst"
u19,"Python,UI/UX",Education,0.83,0.98,0.67,Master,9,Business Analyst
u20,"Excel,Java,Project Management",Health,0.59,0.29,0.99,Bachelor,2,Financial Analyst
u21,"Machine Learning,Statistics,Leadership","Management,Business",0.22,0.83,0.22,Bachelor,8,Marketing Specialist
u22,"Creative Writing,Machine Learning,Business Strategy","Education,Science,Technology",0.67,0.48,0.53,PhD,3,Financial Analyst
u23,"SQL,Creative Writing","Technology,Management",0.42,0.46,0.54,Bachelor,7,Product Manager
u24,"Leadership,UI/UX,Statistics,Java,Python","Technology,Arts",0.79,0.83,0.55,Master,2,"Product Manager,Data Scientist"
u25,"Cloud Computing,Project Management",Technology,0.23,0.27,0.81,Master,3,"Business Analyst,Research Scientist"
u26,"Project Management,Excel,Business Strategy,Machine Learning,Communication","Sports,Science,Health",0.91,0.73,0.69,Master,1,Software Engineer
u27,"Project Management,Java",Management,0.68,0.25,0.62,Master,2,Business Analyst
u28,"Statistics,Leadership,SQL,UI/UX,Project Management","Business,Arts",0.28,0.29,0.94,Master,5,"Research Scientist,Marketing Specialist,Business Analyst"
u29,"Business Strategy,Leadership,Cloud Computing,Data Analysis,UI/UX",Technology,0.47,0.39,0.93,Bachelor,1,"Business Analyst,Product Manager,Marketing Specialist"
u30,"Java,Communication,Machine Learning",Technology,0.93,0.72,0.46,Bachelor,7,"Research Scientist,Data Scientist"
u31,"Cloud Computing,Project Management,Business Strategy,Statistics,Creative Writing",Education,0.45,0.31,0.62,High School,3,Business Analyst
u32,"Excel,Machine Learning,Statistics,SQL,Cloud Computing",Technology,0.31,0.25,0.75,High School,5,"UX Designer,Research Scientist"
u33,"Data Analysis,Cloud Computing,Excel,Project Management",Technology,0.43,0.5,0.28,Master,0,"Data Scientist,UX Designer"
u34,"Cloud Computing,SQL,Project Management,Business Strategy","Sports,Science,Health",0.56,0.52,0.75,Bachelor,7,"Product Manager,Data Scientist"
u35,"Cloud Computing,Java",Sports,0.8,0.42,0.55,Master,9,"Research Scientist,Business Analyst,Marketing Specialist"
u36,"Creative Writing,Data Analysis,Excel,Python","Technology,Business",0.66,0.93,0.38,PhD,0,"Financial Analyst,Software Engineer"
u37,"Cloud Computing,Statistics","Technology,Education,Management",0.97,0.34,0.53,Master,4,Software Engineer
u38,"Statistics,Leadership",Education,0.84,0.96,0.3,High School,6,Data Scientist
u39,"Data Analysis,Leadership","Health,Management,Arts",0.68,0.75,0.28,High School,3,"Marketing Specialist,Financial Analyst"
u40,"Creative Writing,Excel",Health,0.7,0.85,0.72,Bachelor,2,Product Manager
u41,"SQL,Communication,Excel,UI/UX,Java",Business,0.36,0.25,0.48,Master,0,"Product Manager,Software Engineer,Marketing Specialist"
u42,"Statistics,Cloud Computing,Machine Learning,Project Management",Education,0.54,0.75,0.53,Master,3,"Software Engineer,Research Scientist,Product Manager"
u43,"Communication,Data Analysis,Excel","Education,Arts",0.53,0.69,0.22,High School,3,"Software Engineer,Product Manager"
u44,"Cloud Computing,Python,Project Management,SQL,Excel",Health,0.99,0.93,0.63,Master,4,"Financial Analyst,Marketing Specialist,UX Designer"
u45,"Data Analysis,Machine Learning,Communication","Management,Health",0.39,0.35,0.46,High School,2,"Business Analyst,Data Scientist,Financial Analyst"
u46,"Data Analysis,Java,UI/UX",Management,0.41,0.45,0.73,Master,1,"Research Scientist,Software Engineer,Business Analyst"
u47,"Business Strategy,Leadership,Excel,Project Management,Creative Writing","Education,Science,Arts",0.45,0.88,0.63,PhD,4,UX Designer
u48,"Cloud Computing,Statistics,Machine Learning,Python,Excel",Health,0.92,0.55,0.47,PhD,8,"Software Engineer,UX Designer"
u49,"Java,Creative Writing,Statistics",Management,0.43,0.6,0.35,PhD,0,"Product Manager,UX Designer,Business Analyst"
u50,"SQL,Cloud Computing","Management,Health,Science",0.35,0.86,0.33,High School,6,UX Designer
u51,"Python,UI/UX,Leadership","Health,Sports,Management",0.52,0.88,0.74,High School,7,"UX Designer,Product Manager"
u52,"Creative Writing,Machine Learning,Python,Excel,Business Strategy",Business,0.96,0.35,0.45,High School,0,Business Analyst
u53,"Communication,Excel,Statistics,SQL","Health,Business,Technology",0.97,0.28,0.6,Bachelor,7,Marketing Specialist
u54,"UI/UX,Machine Learning,Communication",Science,0.34,0.81,0.51,Bachelor,0,Software Engineer
u55,"Java,Business Strategy","Education,Technology,Management",0.8,0.71,0.67,Master,10,"UX Designer,Data Scientist"
u56,"Statistics,Data Analysis,Cloud Computing,UI/UX","Sports,Science",0.29,0.96,0.84,High School,8,"Product Manager,Marketing Specialist"
u57,"UI/UX,Machine Learning,Java","Management,Education",0.59,0.36,0.79,PhD,1,"Research Scientist,UX Designer,Financial Analyst"
u58,"UI/UX,Business Strategy","Science,Management,Business",0.93,0.82,0.99,High School,0,"Research Scientist,Product Manager,Financial Analyst"
u59,"Data Analysis,Machine Learning,Cloud Computing,Python","Business,Sports",0.32,0.47,0.9,PhD,9,"Marketing Specialist,UX Designer,Research Scientist"
u60,"UI/UX,Communication,Data Analysis,SQL","Arts,Management",0.91,0.58,0.9,High School,6,"UX Designer,Marketing Specialist"
u61,"Python,UI/UX","Health,Management",0.76,0.91,0.99,PhD,9,Marketing Specialist
u62,"UI/UX,Communication","Technology,Management",0.7,0.32,0.56,PhD,7,Marketing Specialist
u63,"Statistics,Data Analysis,Leadership",Science,0.77,0.73,0.49,Bachelor,2,Financial Analyst
u64,"Java,Business Strategy,Creative Writing,Python,Cloud Computing","Technology,Sports",0.65,0.84,0.54,High School,3,Financial Analyst
u65,"Communication,UI/UX","Arts,Management",0.74,0.24,0.81,PhD,6,"Product Manager,Marketing Specialist"
u66,"Java,Excel,Python,UI/UX","Management,Health,Sports",0.6,0.35,0.68,Master,5,Software Engineer
u67,"Creative Writing,Cloud Computing,Data Analysis,Statistics,Java","Business,Arts",0.86,0.89,0.64,Master,6,"Product Manager,Research Scientist"
u68,"Project Management,Excel,UI/UX","Business,Arts,Health",0.68,0.77,0.98,High School,7,"Product Manager,Software Engineer,Marketing Specialist"
u69,"Cloud Computing,Statistics,Python,Machine Learning,SQL","Education,Arts,Health",0.26,0.33,0.96,High School,2,"Software Engineer,Data Scientist,Research Scientist"
u70,"Machine Learning,Java,Excel,Statistics","Arts,Sports",0.44,0.67,0.57,PhD,5,UX Designer
u71,"Creative Writing,Business Strategy",Sports,0.76,0.63,0.51,Bachelor,1,Business Analyst
u72,"Python,Cloud Computing,SQL","Education,Science,Business",0.42,0.74,0.54,PhD,1,UX Designer
u73,"Java,UI/UX,Data Analysis,Communication","Science,Business,Arts",0.58,0.62,0.49,PhD,8,"Business Analyst,UX Designer,Financial Analyst"
u74,"UI/UX,Statistics","Health,Sports,Arts",0.41,0.54,0.62,Master,10,"Research Scientist,Software Engineer"
